Model,Precision,Precision_std,Recall,Recall_std,F1-Score,F1_std,ROC-AUC,ROC_AUC_std,Avg_Precision,Avg_Precision_std
Threshold Optimized RF,0.43478260869565216,0.0,0.6382978723404256,0.0,0.5172413793103449,0.0,0.7980446205530192,0.0,0.0,0.0
Random Undersampling + Random Forest,0.39285714285714285,0.0,0.7021276595744681,0.0,0.5038167938931297,0.0,0.749504694633474,0.0,0.0,0.0
Random Undersampling + Logistic Regression,0.3617021276595745,0.0,0.723404255319149,0.0,0.48226950354609927,0.0,0.8054095960031012,0.0,0.0,0.0
Threshold Optimized LR,0.75,0.0,0.3191489361702128,0.0,0.44776119402985076,0.0,0.814712722887415,0.0,0.0,0.0
Logistic Regression (Custom),0.8777777777777777,0.11992796191623835,0.22774822695035463,0.03582745046652415,0.3566905901116428,0.03652796956384594,0.835259379345667,0.028862982801153736,0.630254320760814,0.06983668335882816
Logistic Regression (Balanced),0.9133333333333333,0.11075498483890768,0.20239361702127662,0.030758195594795118,0.3283482459261574,0.03880969885695088,0.8352728328945792,0.028591617021141755,0.6313039177159242,0.06692994115486314
Random Forest (Balanced),0.9121212121212121,0.11273378931962588,0.10097517730496453,0.044340777758228575,0.1768838746527997,0.06888221519282474,0.8027961773770981,0.028253534367812326,0.5453811761084949,0.05783370416737391
Random Forest,0.8933333333333333,0.13727506854649335,0.08421985815602837,0.02234323971918208,0.1516664914227856,0.03315881843931317,0.8063579690705815,0.034061771087459995,0.5466963562582919,0.08545123020231006
Logistic Regression,1.0,0.0,0.07615248226950352,0.029191311883890042,0.14018497965223825,0.04950031028962823,0.8347904485376147,0.028783387319394185,0.6306967398858582,0.06599703764872542
