feature_name,feature_type,correlation_with_target
eval_number_E_1944,bool,
eval_number_E_1945,bool,
eval_number_E_1947,bool,
eval_number_E_1948,bool,
eval_number_E_1949,bool,
eval_number_E_195,bool,
eval_number_E_1950,bool,
eval_number_E_1951,bool,
eval_number_E_1952,bool,
eval_number_E_1954,bool,
eval_number_E_1955,bool,
eval_number_E_1956,bool,
eval_number_E_1960,bool,
eval_number_E_1961,bool,
eval_number_E_1962,bool,
eval_number_E_1965,bool,
eval_number_E_1966,bool,
eval_number_E_1967,bool,
eval_number_E_1968,bool,
eval_number_E_1969,bool,
eval_number_E_197,bool,
eval_number_E_1970,bool,
eval_number_E_1971,bool,
eval_number_E_1972,bool,
eval_number_E_1973,bool,
eval_number_E_1974,bool,
eval_number_E_1975,bool,
eval_number_E_1976,bool,
eval_number_E_1979,bool,
eval_number_E_198,bool,
eval_number_E_1980,bool,
eval_number_E_1981,bool,
eval_number_E_1982,bool,
eval_number_E_1985,bool,
eval_number_E_1986,bool,
eval_number_E_1987,bool,
eval_number_E_1989,bool,
eval_number_E_199,bool,
eval_number_E_1992,bool,
eval_number_E_1993,bool,
eval_number_E_1994,bool,
eval_number_E_1995,bool,
eval_number_E_1996,bool,
eval_number_E_1997,bool,
eval_number_E_1998,bool,
eval_number_E_1999,bool,
eval_number_E_2,bool,
eval_number_E_20,bool,
eval_number_E_200,bool,
eval_number_E_2000,bool,
eval_number_E_2003,bool,
eval_number_E_2007,bool,
eval_number_E_2008,bool,
eval_number_E_2009,bool,
eval_number_E_201,bool,
eval_number_E_2010,bool,
eval_number_E_2012,bool,
eval_number_E_2013,bool,
eval_number_E_2014,bool,
eval_number_E_2015,bool,
eval_number_E_2016,bool,
eval_number_E_2017,bool,
eval_number_E_2018,bool,
eval_number_E_2019,bool,
eval_number_E_202,bool,
eval_number_E_2020,bool,
eval_number_E_2021,bool,
eval_number_E_2022,bool,
eval_number_E_2023,bool,
eval_number_E_2024,bool,
eval_number_E_2025,bool,
eval_number_E_2026,bool,
eval_number_E_2027,bool,
eval_number_E_2031,bool,
eval_number_E_2032,bool,
eval_number_E_2034,bool,
eval_number_E_2035,bool,
eval_number_E_2036,bool,
eval_number_E_2037,bool,
eval_number_E_2038,bool,
eval_number_E_204,bool,
eval_number_E_2040,bool,
eval_number_E_2041,bool,
eval_number_E_2044,bool,
eval_number_E_2045,bool,
eval_number_E_2046,bool,
eval_number_E_2048,bool,
eval_number_E_2049,bool,
eval_number_E_205,bool,
eval_number_E_2051,bool,
eval_number_E_2052,bool,
eval_number_E_2053,bool,
eval_number_E_2054,bool,
eval_number_E_2055,bool,
eval_number_E_2056,bool,
eval_number_E_2057,bool,
eval_number_E_206,bool,
eval_number_E_2060,bool,
eval_number_E_2061,bool,
eval_number_E_2062,bool,
eval_number_E_2064,bool,
eval_number_E_2065,bool,
eval_number_E_2068,bool,
eval_number_E_207,bool,
eval_number_E_208,bool,
eval_number_E_21,bool,
eval_number_E_211,bool,
eval_number_E_214,bool,
eval_number_E_215,bool,
eval_number_E_216,bool,
eval_number_E_217,bool,
eval_number_E_218,bool,
eval_number_E_22,bool,
eval_number_E_221,bool,
eval_number_E_223,bool,
eval_number_E_224,bool,
eval_number_E_226,bool,
eval_number_E_227,bool,
eval_number_E_228,bool,
eval_number_E_23,bool,
eval_number_E_230,bool,
eval_number_E_231,bool,
eval_number_E_233,bool,
eval_number_E_235,bool,
eval_number_E_238,bool,
eval_number_E_239,bool,
eval_number_E_24,bool,
eval_number_E_240,bool,
eval_number_E_241,bool,
eval_number_E_242,bool,
eval_number_E_243,bool,
eval_number_E_244,bool,
eval_number_E_245,bool,
eval_number_E_246,bool,
eval_number_E_247,bool,
eval_number_E_248,bool,
eval_number_E_249,bool,
eval_number_E_250,bool,
eval_number_E_252,bool,
eval_number_E_253,bool,
eval_number_E_254,bool,
eval_number_E_256,bool,
eval_number_E_258,bool,
eval_number_E_259,bool,
eval_number_E_26,bool,
eval_number_E_260,bool,
eval_number_E_261,bool,
eval_number_E_262,bool,
eval_number_E_264,bool,
eval_number_E_267,bool,
eval_number_E_269,bool,
eval_number_E_27,bool,
eval_number_E_270,bool,
eval_number_E_271,bool,
eval_number_E_273,bool,
eval_number_E_274,bool,
eval_number_E_275,bool,
eval_number_E_277,bool,
eval_number_E_28,bool,
eval_number_E_281,bool,
eval_number_E_282,bool,
eval_number_E_283,bool,
eval_number_E_284,bool,
eval_number_E_286,bool,
eval_number_E_287,bool,
eval_number_E_288,bool,
eval_number_E_291,bool,
eval_number_E_292,bool,
eval_number_E_293,bool,
eval_number_E_296,bool,
eval_number_E_297,bool,
eval_number_E_298,bool,
eval_number_E_299,bool,
eval_number_E_30,bool,
eval_number_E_300,bool,
eval_number_E_302,bool,
eval_number_E_303,bool,
eval_number_E_304,bool,
eval_number_E_305,bool,
eval_number_E_306,bool,
eval_number_E_307,bool,
eval_number_E_308,bool,
eval_number_E_309,bool,
eval_number_E_31,bool,
eval_number_E_311,bool,
eval_number_E_312,bool,
eval_number_E_314,bool,
eval_number_E_315,bool,
eval_number_E_316,bool,
eval_number_E_319,bool,
eval_number_E_32,bool,
eval_number_E_321,bool,
eval_number_E_323,bool,
eval_number_E_325,bool,
eval_number_E_327,bool,
eval_number_E_328,bool,
